ID,Header Size,Payload Size,Packet Size,Average Packet Size,Average Payload Size,Average Header Size,
4,8,553,595,884.0,840.0,9.0,
5,8,85,127,884.0,840.0,9.0,
6,8,37,79,884.0,840.0,9.0,
7,8,808,850,884.0,840.0,9.0,
8,8,1350,1392,884.0,840.0,9.0,
9,8,1350,1392,884.0,840.0,9.0,
10,8,50,92,884.0,840.0,9.0,
11,8,1350,1392,884.0,840.0,9.0,
12,8,1350,1392,884.0,840.0,9.0,
13,8,1350,1392,884.0,840.0,9.0,
14,8,41,83,884.0,840.0,9.0,
15,8,1350,1392,884.0,840.0,9.0,
16,8,1350,1392,884.0,840.0,9.0,
17,8,1350,1392,884.0,840.0,9.0,
18,8,1350,1392,884.0,840.0,9.0,
19,8,41,83,884.0,840.0,9.0,
20,8,41,83,884.0,840.0,9.0,
21,8,1350,1392,884.0,840.0,9.0,
22,8,1350,1392,884.0,840.0,9.0,
23,8,1350,1392,884.0,840.0,9.0,
24,8,1350,1392,884.0,840.0,9.0,
25,8,1350,1392,884.0,840.0,9.0,
26,8,1350,1392,884.0,840.0,9.0,
27,8,1350,1392,884.0,840.0,9.0,
28,8,1350,1392,884.0,840.0,9.0,
29,8,41,83,884.0,840.0,9.0,
30,8,41,83,884.0,840.0,9.0,
31,8,41,83,884.0,840.0,9.0,
32,8,41,83,884.0,840.0,9.0,
33,8,1350,1392,884.0,840.0,9.0,
34,8,41,83,884.0,840.0,9.0,
35,8,1350,1392,884.0,840.0,9.0,
36,8,1350,1392,884.0,840.0,9.0,
37,8,41,83,884.0,840.0,9.0,
38,8,1350,1392,884.0,840.0,9.0,
39,8,1350,1392,884.0,840.0,9.0,
40,8,41,83,884.0,840.0,9.0,
41,8,1350,1392,884.0,840.0,9.0,
42,8,1350,1392,884.0,840.0,9.0,
43,8,41,83,884.0,840.0,9.0,
44,8,1350,1392,884.0,840.0,9.0,
45,8,1350,1392,884.0,840.0,9.0,
46,8,1350,1392,884.0,840.0,9.0,
47,8,1350,1392,884.0,840.0,9.0,
48,8,1350,1392,884.0,840.0,9.0,
49,8,1350,1392,884.0,840.0,9.0,
50,8,1350,1392,884.0,840.0,9.0,
51,8,1350,1392,884.0,840.0,9.0,
52,8,1350,1392,884.0,840.0,9.0,
53,8,41,83,884.0,840.0,9.0,
54,8,41,83,884.0,840.0,9.0,
55,8,41,83,884.0,840.0,9.0,
56,8,41,83,884.0,840.0,9.0,
57,8,1350,1392,884.0,840.0,9.0,
58,8,1350,1392,884.0,840.0,9.0,
59,8,1350,1392,884.0,840.0,9.0,
60,8,1350,1392,884.0,840.0,9.0,
61,8,41,83,884.0,840.0,9.0,
62,8,41,83,884.0,840.0,9.0,
63,8,1350,1392,884.0,840.0,9.0,
64,8,1350,1392,884.0,840.0,9.0,
65,8,1350,1392,884.0,840.0,9.0,
66,8,41,83,884.0,840.0,9.0,
67,8,1350,1392,884.0,840.0,9.0,
68,8,41,83,884.0,840.0,9.0,
69,8,1350,1392,884.0,840.0,9.0,
70,8,1350,1392,884.0,840.0,9.0,
71,8,1350,1392,884.0,840.0,9.0,
72,8,1350,1392,884.0,840.0,9.0,
73,8,1350,1392,884.0,840.0,9.0,
74,8,1350,1392,884.0,840.0,9.0,
75,8,1350,1392,884.0,840.0,9.0,
76,8,1350,1392,884.0,840.0,9.0,
77,8,1350,1392,884.0,840.0,9.0,
78,8,1350,1392,884.0,840.0,9.0,
79,8,41,83,884.0,840.0,9.0,
80,8,41,83,884.0,840.0,9.0,
81,8,41,83,884.0,840.0,9.0,
82,8,1350,1392,884.0,840.0,9.0,
83,8,41,83,884.0,840.0,9.0,
84,8,1350,1392,884.0,840.0,9.0,
85,8,41,83,884.0,840.0,9.0,
86,8,41,83,884.0,840.0,9.0,
87,8,1350,1392,884.0,840.0,9.0,
88,8,41,83,884.0,840.0,9.0,
89,8,1350,1392,884.0,840.0,9.0,
90,8,1350,1392,884.0,840.0,9.0,
91,8,41,83,884.0,840.0,9.0,
92,8,1350,1392,884.0,840.0,9.0,
93,8,1350,1392,884.0,840.0,9.0,
94,8,1350,1392,884.0,840.0,9.0,
95,8,41,83,884.0,840.0,9.0,
96,8,1350,1392,884.0,840.0,9.0,
97,8,41,83,884.0,840.0,9.0,
98,8,1350,1392,884.0,840.0,9.0,
99,8,1350,1392,884.0,840.0,9.0,
100,8,41,83,884.0,840.0,9.0,
101,8,1350,1392,884.0,840.0,9.0,
102,8,1350,1392,884.0,840.0,9.0,
103,8,41,83,884.0,840.0,9.0,
104,8,1350,1392,884.0,840.0,9.0,
105,8,1350,1392,884.0,840.0,9.0,
106,8,41,83,884.0,840.0,9.0,
107,8,1350,1392,884.0,840.0,9.0,
108,8,1350,1392,884.0,840.0,9.0,
109,8,41,83,884.0,840.0,9.0,
110,8,1350,1392,884.0,840.0,9.0,
111,8,1350,1392,884.0,840.0,9.0,
112,8,41,83,884.0,840.0,9.0,
113,8,1350,1392,884.0,840.0,9.0,
114,8,1350,1392,884.0,840.0,9.0,
115,8,41,83,884.0,840.0,9.0,
116,8,1350,1392,884.0,840.0,9.0,
117,8,1350,1392,884.0,840.0,9.0,
118,8,1350,1392,884.0,840.0,9.0,
119,8,1350,1392,884.0,840.0,9.0,
120,8,1350,1392,884.0,840.0,9.0,
121,8,1350,1392,884.0,840.0,9.0,
122,8,1350,1392,884.0,840.0,9.0,
123,8,1350,1392,884.0,840.0,9.0,
124,8,1350,1392,884.0,840.0,9.0,
125,8,41,83,884.0,840.0,9.0,
126,8,1350,1392,884.0,840.0,9.0,
127,8,41,83,884.0,840.0,9.0,
128,8,41,83,884.0,840.0,9.0,
129,8,1350,1392,884.0,840.0,9.0,
130,8,41,83,884.0,840.0,9.0,
131,8,41,83,884.0,840.0,9.0,
132,8,1350,1392,884.0,840.0,9.0,
133,8,41,83,884.0,840.0,9.0,
134,8,1350,1392,884.0,840.0,9.0,
135,8,1350,1392,884.0,840.0,9.0,
136,8,41,83,884.0,840.0,9.0,
137,8,1350,1392,884.0,840.0,9.0,
138,8,1350,1392,884.0,840.0,9.0,
139,8,1350,1392,884.0,840.0,9.0,
140,8,1350,1392,884.0,840.0,9.0,
141,8,41,83,884.0,840.0,9.0,
142,8,41,83,884.0,840.0,9.0,
143,8,1350,1392,884.0,840.0,9.0,
144,8,1350,1392,884.0,840.0,9.0,
145,8,41,83,884.0,840.0,9.0,
146,8,1350,1392,884.0,840.0,9.0,
147,8,1350,1392,884.0,840.0,9.0,
148,8,41,83,884.0,840.0,9.0,
149,8,1350,1392,884.0,840.0,9.0,
150,8,1350,1392,884.0,840.0,9.0,
151,8,41,83,884.0,840.0,9.0,
152,8,1350,1392,884.0,840.0,9.0,
153,8,1350,1392,884.0,840.0,9.0,
154,8,41,83,884.0,840.0,9.0,
155,8,1350,1392,884.0,840.0,9.0,
156,8,1350,1392,884.0,840.0,9.0,
157,8,1350,1392,884.0,840.0,9.0,
158,8,1350,1392,884.0,840.0,9.0,
159,8,1350,1392,884.0,840.0,9.0,
160,8,1350,1392,884.0,840.0,9.0,
161,8,1350,1392,884.0,840.0,9.0,
162,8,1350,1392,884.0,840.0,9.0,
163,8,1350,1392,884.0,840.0,9.0,
164,8,1350,1392,884.0,840.0,9.0,
165,8,1350,1392,884.0,840.0,9.0,
166,8,1350,1392,884.0,840.0,9.0,
167,8,1350,1392,884.0,840.0,9.0,
168,8,1350,1392,884.0,840.0,9.0,
169,8,41,83,884.0,840.0,9.0,
170,8,43,85,884.0,840.0,9.0,
171,8,43,85,884.0,840.0,9.0,
172,8,43,85,884.0,840.0,9.0,
173,8,43,85,884.0,840.0,9.0,
174,8,43,85,884.0,840.0,9.0,
175,8,43,85,884.0,840.0,9.0,
176,8,1350,1392,884.0,840.0,9.0,
177,8,1350,1392,884.0,840.0,9.0,
178,8,43,85,884.0,840.0,9.0,
179,8,1350,1392,884.0,840.0,9.0,
180,8,1350,1392,884.0,840.0,9.0,
181,8,43,85,884.0,840.0,9.0,
182,8,1350,1392,884.0,840.0,9.0,
183,8,1350,1392,884.0,840.0,9.0,
184,8,43,85,884.0,840.0,9.0,
185,8,1350,1392,884.0,840.0,9.0,
186,8,1350,1392,884.0,840.0,9.0,
187,8,43,85,884.0,840.0,9.0,
188,8,1350,1392,884.0,840.0,9.0,
189,8,1350,1392,884.0,840.0,9.0,
190,8,43,85,884.0,840.0,9.0,
191,8,1350,1392,884.0,840.0,9.0,
192,8,1350,1392,884.0,840.0,9.0,
193,8,43,85,884.0,840.0,9.0,
194,8,1350,1392,884.0,840.0,9.0,
195,8,1350,1392,884.0,840.0,9.0,
196,8,43,85,884.0,840.0,9.0,
197,8,1350,1392,884.0,840.0,9.0,
198,8,1350,1392,884.0,840.0,9.0,
199,8,43,85,884.0,840.0,9.0,
200,8,1350,1392,884.0,840.0,9.0,
201,8,1350,1392,884.0,840.0,9.0,
202,8,43,85,884.0,840.0,9.0,
203,8,1350,1392,884.0,840.0,9.0,
204,8,1350,1392,884.0,840.0,9.0,
205,8,43,85,884.0,840.0,9.0,
206,8,1350,1392,884.0,840.0,9.0,
207,8,1350,1392,884.0,840.0,9.0,
208,8,43,85,884.0,840.0,9.0,
209,8,1350,1392,884.0,840.0,9.0,
210,8,1350,1392,884.0,840.0,9.0,
211,8,43,85,884.0,840.0,9.0,
212,8,1350,1392,884.0,840.0,9.0,
213,8,1350,1392,884.0,840.0,9.0,
214,8,43,85,884.0,840.0,9.0,
215,8,1350,1392,884.0,840.0,9.0,
216,8,1350,1392,884.0,840.0,9.0,
217,8,43,85,884.0,840.0,9.0,
218,8,1350,1392,884.0,840.0,9.0,
219,8,1350,1392,884.0,840.0,9.0,
220,8,43,85,884.0,840.0,9.0,
221,8,1350,1392,884.0,840.0,9.0,
222,8,1350,1392,884.0,840.0,9.0,
223,8,43,85,884.0,840.0,9.0,
224,8,1350,1392,884.0,840.0,9.0,
225,8,1350,1392,884.0,840.0,9.0,
226,8,43,85,884.0,840.0,9.0,
227,8,1350,1392,884.0,840.0,9.0,
228,8,1350,1392,884.0,840.0,9.0,
229,8,43,85,884.0,840.0,9.0,
230,8,1350,1392,884.0,840.0,9.0,
231,8,1350,1392,884.0,840.0,9.0,
232,8,43,85,884.0,840.0,9.0,
233,8,1350,1392,884.0,840.0,9.0,
234,8,1350,1392,884.0,840.0,9.0,
235,8,43,85,884.0,840.0,9.0,
236,8,1350,1392,884.0,840.0,9.0,
237,8,1350,1392,884.0,840.0,9.0,
238,8,43,85,884.0,840.0,9.0,
239,8,98,140,884.0,840.0,9.0,
240,8,1350,1392,884.0,840.0,9.0,
241,8,1350,1392,884.0,840.0,9.0,
242,8,89,131,884.0,840.0,9.0,
243,8,1350,1392,884.0,840.0,9.0,
244,8,92,134,884.0,840.0,9.0,
245,8,46,88,884.0,840.0,9.0,
246,8,1350,1392,884.0,840.0,9.0,
247,8,1350,1392,884.0,840.0,9.0,
248,8,49,91,884.0,840.0,9.0,
249,8,1350,1392,884.0,840.0,9.0,
250,8,41,83,884.0,840.0,9.0,
251,8,1350,1392,884.0,840.0,9.0,
252,8,1350,1392,884.0,840.0,9.0,
253,8,41,83,884.0,840.0,9.0,
254,8,1350,1392,884.0,840.0,9.0,
255,8,1350,1392,884.0,840.0,9.0,
256,8,41,83,884.0,840.0,9.0,
257,8,1350,1392,884.0,840.0,9.0,
258,8,1350,1392,884.0,840.0,9.0,
259,8,41,83,884.0,840.0,9.0,
260,8,1350,1392,884.0,840.0,9.0,
261,8,1350,1392,884.0,840.0,9.0,
262,8,41,83,884.0,840.0,9.0,
263,8,1350,1392,884.0,840.0,9.0,
264,8,1350,1392,884.0,840.0,9.0,
265,8,1350,1392,884.0,840.0,9.0,
266,8,1350,1392,884.0,840.0,9.0,
267,8,1350,1392,884.0,840.0,9.0,
268,8,1350,1392,884.0,840.0,9.0,
269,8,1350,1392,884.0,840.0,9.0,
270,8,1350,1392,884.0,840.0,9.0,
271,8,41,83,884.0,840.0,9.0,
272,8,41,83,884.0,840.0,9.0,
273,8,41,83,884.0,840.0,9.0,
274,8,41,83,884.0,840.0,9.0,
275,8,1350,1392,884.0,840.0,9.0,
276,8,1350,1392,884.0,840.0,9.0,
277,8,1350,1392,884.0,840.0,9.0,
278,8,41,83,884.0,840.0,9.0,
279,8,1350,1392,884.0,840.0,9.0,
280,8,1350,1392,884.0,840.0,9.0,
281,8,1350,1392,884.0,840.0,9.0,
282,8,1350,1392,884.0,840.0,9.0,
283,8,1350,1392,884.0,840.0,9.0,
284,8,41,83,884.0,840.0,9.0,
285,8,41,83,884.0,840.0,9.0,
286,8,1350,1392,884.0,840.0,9.0,
287,8,1350,1392,884.0,840.0,9.0,
288,8,1350,1392,884.0,840.0,9.0,
289,8,1350,1392,884.0,840.0,9.0,
290,8,1350,1392,884.0,840.0,9.0,
291,8,41,83,884.0,840.0,9.0,
292,8,41,83,884.0,840.0,9.0,
293,8,41,83,884.0,840.0,9.0,
294,8,1350,1392,884.0,840.0,9.0,
295,8,41,83,884.0,840.0,9.0,
296,8,1350,1392,884.0,840.0,9.0,
297,8,1350,1392,884.0,840.0,9.0,
298,8,41,83,884.0,840.0,9.0,
299,8,1350,1392,884.0,840.0,9.0,
300,8,1350,1392,884.0,840.0,9.0,
301,8,41,83,884.0,840.0,9.0,
302,8,1350,1392,884.0,840.0,9.0,
303,8,1350,1392,884.0,840.0,9.0,
304,8,41,83,884.0,840.0,9.0,
305,8,1350,1392,884.0,840.0,9.0,
306,8,1350,1392,884.0,840.0,9.0,
307,8,41,83,884.0,840.0,9.0,
308,8,1350,1392,884.0,840.0,9.0,
309,8,1350,1392,884.0,840.0,9.0,
310,8,41,83,884.0,840.0,9.0,
311,8,1350,1392,884.0,840.0,9.0,
312,8,1350,1392,884.0,840.0,9.0,
313,8,41,83,884.0,840.0,9.0,
314,8,1350,1392,884.0,840.0,9.0,
315,8,1350,1392,884.0,840.0,9.0,
316,8,41,83,884.0,840.0,9.0,
317,8,1350,1392,884.0,840.0,9.0,
318,8,1350,1392,884.0,840.0,9.0,
319,8,41,83,884.0,840.0,9.0,
320,8,1350,1392,884.0,840.0,9.0,
321,8,1350,1392,884.0,840.0,9.0,
322,8,41,83,884.0,840.0,9.0,
323,8,1350,1392,884.0,840.0,9.0,
324,8,1350,1392,884.0,840.0,9.0,
325,8,41,83,884.0,840.0,9.0,
326,8,1350,1392,884.0,840.0,9.0,
327,8,1350,1392,884.0,840.0,9.0,
328,8,41,83,884.0,840.0,9.0,
329,8,1350,1392,884.0,840.0,9.0,
330,8,1350,1392,884.0,840.0,9.0,
331,8,41,83,884.0,840.0,9.0,
332,8,1350,1392,884.0,840.0,9.0,
333,8,1350,1392,884.0,840.0,9.0,
334,8,41,83,884.0,840.0,9.0,
335,8,1350,1392,884.0,840.0,9.0,
336,8,1350,1392,884.0,840.0,9.0,
337,8,41,83,884.0,840.0,9.0,
338,8,1350,1392,884.0,840.0,9.0,
339,8,1350,1392,884.0,840.0,9.0,
340,8,41,83,884.0,840.0,9.0,
341,8,1350,1392,884.0,840.0,9.0,
342,8,1350,1392,884.0,840.0,9.0,
343,8,41,83,884.0,840.0,9.0,
344,8,1350,1392,884.0,840.0,9.0,
345,8,1350,1392,884.0,840.0,9.0,
346,8,41,83,884.0,840.0,9.0,
347,8,1350,1392,884.0,840.0,9.0,
348,8,1350,1392,884.0,840.0,9.0,
349,8,41,83,884.0,840.0,9.0,
350,8,1350,1392,884.0,840.0,9.0,
351,8,1350,1392,884.0,840.0,9.0,
352,8,41,83,884.0,840.0,9.0,
353,8,1350,1392,884.0,840.0,9.0,
354,8,1350,1392,884.0,840.0,9.0,
355,8,43,85,884.0,840.0,9.0,
356,8,1350,1392,884.0,840.0,9.0,
357,8,1350,1392,884.0,840.0,9.0,
358,8,43,85,884.0,840.0,9.0,
359,8,1350,1392,884.0,840.0,9.0,
360,8,1350,1392,884.0,840.0,9.0,
361,8,43,85,884.0,840.0,9.0,
362,8,1350,1392,884.0,840.0,9.0,
363,8,1350,1392,884.0,840.0,9.0,
364,8,43,85,884.0,840.0,9.0,
365,8,1350,1392,884.0,840.0,9.0,
366,8,1350,1392,884.0,840.0,9.0,
367,8,43,85,884.0,840.0,9.0,
368,8,1350,1392,884.0,840.0,9.0,
369,8,1350,1392,884.0,840.0,9.0,
370,8,1350,1392,884.0,840.0,9.0,
371,8,1350,1392,884.0,840.0,9.0,
372,8,43,85,884.0,840.0,9.0,
373,8,43,85,884.0,840.0,9.0,
374,8,1350,1392,884.0,840.0,9.0,
375,8,1350,1392,884.0,840.0,9.0,
376,8,1350,1392,884.0,840.0,9.0,
377,8,1350,1392,884.0,840.0,9.0,
378,8,1350,1392,884.0,840.0,9.0,
379,8,43,85,884.0,840.0,9.0,
380,8,1350,1392,884.0,840.0,9.0,
381,8,1350,1392,884.0,840.0,9.0,
382,8,1350,1392,884.0,840.0,9.0,
383,8,1350,1392,884.0,840.0,9.0,
384,8,1350,1392,884.0,840.0,9.0,
385,8,1350,1392,884.0,840.0,9.0,
386,8,1350,1392,884.0,840.0,9.0,
387,8,1350,1392,884.0,840.0,9.0,
388,8,1350,1392,884.0,840.0,9.0,
389,8,1350,1392,884.0,840.0,9.0,
390,8,1350,1392,884.0,840.0,9.0,
391,8,1350,1392,884.0,840.0,9.0,
392,8,43,85,884.0,840.0,9.0,
393,8,43,85,884.0,840.0,9.0,
394,8,1350,1392,884.0,840.0,9.0,
395,8,43,85,884.0,840.0,9.0,
396,8,43,85,884.0,840.0,9.0,
397,8,43,85,884.0,840.0,9.0,
398,8,43,85,884.0,840.0,9.0,
399,8,1350,1392,884.0,840.0,9.0,
400,8,43,85,884.0,840.0,9.0,
401,8,43,85,884.0,840.0,9.0,
402,8,1350,1392,884.0,840.0,9.0,
403,8,1350,1392,884.0,840.0,9.0,
404,8,43,85,884.0,840.0,9.0,
405,8,1350,1392,884.0,840.0,9.0,
406,8,43,85,884.0,840.0,9.0,
407,8,1350,1392,884.0,840.0,9.0,
408,8,1350,1392,884.0,840.0,9.0,
409,8,43,85,884.0,840.0,9.0,
410,8,1350,1392,884.0,840.0,9.0,
411,8,1350,1392,884.0,840.0,9.0,
412,8,43,85,884.0,840.0,9.0,
413,8,1350,1392,884.0,840.0,9.0,
414,8,1350,1392,884.0,840.0,9.0,
415,8,43,85,884.0,840.0,9.0,
416,8,1350,1392,884.0,840.0,9.0,
417,8,1350,1392,884.0,840.0,9.0,
418,8,43,85,884.0,840.0,9.0,
419,8,1350,1392,884.0,840.0,9.0,
420,8,1350,1392,884.0,840.0,9.0,
421,8,43,85,884.0,840.0,9.0,
422,8,1350,1392,884.0,840.0,9.0,
423,8,1350,1392,884.0,840.0,9.0,
424,8,43,85,884.0,840.0,9.0,
425,8,1350,1392,884.0,840.0,9.0,
426,8,1350,1392,884.0,840.0,9.0,
427,8,43,85,884.0,840.0,9.0,
428,8,1350,1392,884.0,840.0,9.0,
429,8,1350,1392,884.0,840.0,9.0,
430,8,43,85,884.0,840.0,9.0,
431,8,1350,1392,884.0,840.0,9.0,
432,8,1350,1392,884.0,840.0,9.0,
433,8,43,85,884.0,840.0,9.0,
434,8,1350,1392,884.0,840.0,9.0,
435,8,1350,1392,884.0,840.0,9.0,
436,8,43,85,884.0,840.0,9.0,
437,8,1350,1392,884.0,840.0,9.0,
438,8,1350,1392,884.0,840.0,9.0,
439,8,1350,1392,884.0,840.0,9.0,
440,8,1350,1392,884.0,840.0,9.0,
441,8,43,85,884.0,840.0,9.0,
442,8,43,85,884.0,840.0,9.0,
443,8,812,854,884.0,840.0,9.0,
444,8,1350,1392,884.0,840.0,9.0,
445,8,1350,1392,884.0,840.0,9.0,
446,8,43,85,884.0,840.0,9.0,
447,8,1350,1392,884.0,840.0,9.0,
448,8,1350,1392,884.0,840.0,9.0,
449,8,43,85,884.0,840.0,9.0,
450,8,1350,1392,884.0,840.0,9.0,
451,8,1350,1392,884.0,840.0,9.0,
452,8,43,85,884.0,840.0,9.0,
453,8,1350,1392,884.0,840.0,9.0,
454,8,1350,1392,884.0,840.0,9.0,
455,8,1350,1392,884.0,840.0,9.0,
456,8,98,140,884.0,840.0,9.0,
457,8,1350,1392,884.0,840.0,9.0,
458,8,1350,1392,884.0,840.0,9.0,
459,8,1350,1392,884.0,840.0,9.0,
460,8,89,131,884.0,840.0,9.0,
461,8,1350,1392,884.0,840.0,9.0,
462,8,1350,1392,884.0,840.0,9.0,
463,8,1350,1392,884.0,840.0,9.0,
464,8,1350,1392,884.0,840.0,9.0,
465,8,1350,1392,884.0,840.0,9.0,
466,8,1350,1392,884.0,840.0,9.0,
467,8,1350,1392,884.0,840.0,9.0,
468,8,1350,1392,884.0,840.0,9.0,
469,8,71,113,884.0,840.0,9.0,
470,8,43,85,884.0,840.0,9.0,
471,8,1350,1392,884.0,840.0,9.0,
472,8,46,88,884.0,840.0,9.0,
473,8,41,83,884.0,840.0,9.0,
474,8,44,86,884.0,840.0,9.0,
475,8,41,83,884.0,840.0,9.0,
476,8,41,83,884.0,840.0,9.0,
477,8,41,83,884.0,840.0,9.0,
478,8,41,83,884.0,840.0,9.0,
479,8,1350,1392,884.0,840.0,9.0,
480,8,1350,1392,884.0,840.0,9.0,
481,8,1350,1392,884.0,840.0,9.0,
